"﻿""Function""",String Count,Total Characters,Translated,NPC/Event
0096H,2,91,Yes,Done
009AH,205,16793,Yes,Erethian (烈火島盲眼法師)
009BH,54,2790,Yes,Ferryman of Skara Brae (Skara Brae 渡船夫)
009FH,6,9,Yes,Done
00FBH,2,114,Yes,Done
00FCH,3,3,Yes,Done
0102H,1,19,Yes,Done
0105H,1,52,Yes,Done
011CH,6,81,Yes,
0149H,1,17,Yes,Done
0154H,3,69,Yes,Done
017BH,325,1814,Yes,盧恩符文已翻譯，透過「古文譯本」
018AH,15,309,Yes,
01B2H,1,19,Yes,Done
01BFH,1,5,Yes,
01DFH,37,887,Yes,Emp (森靈)
01EFH,3,39,Yes,
01F0H,3,24,Yes,@乖狗狗。@
01F4H,3,17,Yes,@哞@
01F7H,1,130,Yes,\
01F8H,11,2440,Yes,Dracothraxus (巨龍 - 勇氣考驗)
01FAH,2,409,Yes,Batlin 以冰冷的無奈看著 Hook 死亡。當他轉向你時
020AH,1,6,Yes,上鎖了
0247H,1,41,Yes,Done
0269H,114,8892,Yes,Time Lord (時間領主)
026FH,2,50,Yes,Done
0270H,3,126,Yes,Done
0273H,7,110,Yes,Done
0281H,3,24,Yes,Unlocked
0282H,287,46807,Yes,
0284H,6,62,Yes,Done
0285H,2,91,Yes,Done
0286H,2,91,Yes,Done
0288H,1,20,Yes,Done
028AH,9,62,Yes,
028BH,2,81,Yes,Done
0292H,3,74,Yes,Done
0296H,10,178,Yes,Done
029CH,2,45,Yes,@劍不夠熱。@
02A3H,16,233,Yes,
02BAH,1,64,Yes,Done
02BEH,2,42,Yes,Done
02CBH,444,2837,Yes,盧恩符文已翻譯，透過「古文譯本」
02D3H,2,167,Yes,\
02D5H,2,35,Yes,Done
02D8H,1,119,Yes,\
02DAH,3,159,Yes,Done
02DFH,3,107,Yes,Done
02E6H,1,20,Yes,@哇！真俐落！！@
02E7H,1,23,Yes,Done
02F2H,1,240,Yes,隨著靈魂囚籠化為塵土，巫妖發生了巨大的轉變。在邪靈被囚禁的地
02F8H,3,169,Yes,Done
0303H,1,57,Yes,法杖發出微弱的光芒。Batlin 假笑著。\
030DH,2,95,Yes,Done
030EH,1,39,Yes,Done
0311H,4,60,Yes,Done
0316H,1,20,Yes,Done
031DH,104,15292,Yes,
0326H,22,466,Yes,
0329H,1,12,Yes,Done
032AH,17,357,Yes,Bucket / Interactive (水桶等互動)
0334H,246,1459,Yes,盧恩符文已翻譯，透過「古文譯本」
0336H,2,51,Yes,Done
0337H,11,190,Yes,
033BH,6,143,Yes,
0345H,2,45,Yes,Done
0348H,1,48,Yes,Done
0353H,3,140,Yes,Done
0356H,22,3448,Yes,Shrine Statues (神殿雕像 - 烈火島)
035FH,2,67,Yes,Done
03B0H,1,5,Yes,呸！
03B2H,11,222,Yes,
03DBH,1,11,Yes,Done
03DEH,2,558,Yes,你感覺自己的大腦正在被探測，起初很輕柔，然後越來越強烈。久遠
03F7H,10,814,Yes,Golems Adjion and Bollux (魔像兄弟)
0401H,148,6283,Yes,Iolo / Petre (Trinsic 劇情)
0402H,162,7021,Yes,
0403H,109,3736,Yes,Shamino (加入對話)
0404H,108,5673,Yes,Dupre (加入對話)
0405H,82,2865,Yes,Jaana (加入/治療對話)
